Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Larkfield-Wikiup CDP,"8,492","4,167","4,325",41.9,39.7,44.9,N/A,N/A,411,"1,857","6,373","2,988","2,342","1,678",50.9%,21.9%,,1600000US0640426,
Monte Rio CDP,"1,080",580,500,55.3,55.4,55.0,N/A,N/A,34,112,944,548,417,295,46.3%,10.4%,,1600000US0648928,
Occidental CDP,"1,132",583,549,54.3,52.1,55.5,N/A,N/A,33,168,935,558,477,355,48.5%,14.8%,,1600000US0653266,
Penngrove CDP,"2,637","1,305","1,332",49.2,47.1,50.7,N/A,N/A,120,498,"2,072","1,075",840,648,50.5%,18.9%,,1600000US0656476,
Petaluma city,"59,776","28,796","30,980",43.4,41.7,44.9,N/A,N/A,"2,805","12,217","45,623","20,661","16,211","11,951",51.8%,20.4%,,1600000US0656784,
Petaluma Center CDP,709,406,303,28.9,29.4,27.1,N/A,N/A,37,199,463,60,42,22,42.7%,28.1%,,1600000US0656786,
Rohnert Park city,"44,390","21,531","22,859",36.3,35.3,37.4,N/A,N/A,"2,358","8,762","33,762","12,084","9,204","6,525",51.5%,19.7%,,1600000US0662546,
Salmon Creek CDP,111,57,54,58.8,59.5,58.7,N/A,N/A,3,10,98,58,54,44,48.6%,9.0%,,1600000US0664252,
Santa Rosa city,"178,127","86,767","91,360",39.9,38.2,41.5,N/A,N/A,"9,015","37,586","134,250","55,597","44,570","33,398",51.3%,21.1%,,1600000US0670098,
Sea Ranch CDP,"1,169",532,637,68.0,68.6,67.7,N/A,N/A,21,63,"1,096",924,830,696,54.5%,5.4%,,1600000US0670712,
Sebastopol city,"7,521","3,370","4,151",50.0,46.8,51.9,N/A,N/A,244,"1,317","5,990","3,265","2,760","2,184",55.2%,17.5%,,1600000US0670770,
Sereno del Mar CDP,107,48,59,55.9,63.5,54.5,N/A,N/A,1,5,93,63,46,39,55.1%,4.7%,,1600000US0671000,
Sonoma city,"10,739","4,853","5,886",53.4,50.2,56.0,N/A,N/A,368,"1,688","8,751","5,163","4,367","3,495",54.8%,15.7%,,1600000US0672646,
Sonoma State University CDP,"2,679",976,"1,703",28.2,27.1,29.4,N/A,N/A,1,74,"1,934",83,42,2,63.6%,2.8%,,1600000US0672654,
Temelec CDP,"1,500",613,887,72.3,72.7,72.0,N/A,N/A,4,11,"1,487","1,394","1,301","1,152",59.1%,0.7%,,1600000US0678126,
Timber Cove CDP,171,83,88,56.1,46.8,59.3,N/A,N/A,5,18,148,89,68,62,51.5%,10.5%,,1600000US0678715,
Valley Ford CDP,148,74,74,42.0,46.5,40.5,N/A,N/A,10,27,118,43,37,29,50.0%,18.2%,,1600000US0681778,
Windsor town,"26,344","12,877","13,467",42.2,40.5,43.8,N/A,N/A,"1,239","5,871","19,397","8,651","6,628","4,682",51.1%,22.3%,,1600000US0685922,
Stanislaus County,"552,878","272,558","280,320",35.5,34.4,36.5,N/A,N/A,"35,390","144,970","384,444","143,291","109,703","78,433",50.7%,26.2%,,0500000US06099,
Airport CDP,"1,389",685,704,33.6,35.6,31.9,N/A,N/A,102,399,933,306,225,144,50.7%,28.7%,,1600000US0600535,
Bret Harte CDP,"5,135","2,622","2,513",30.1,29.7,30.3,N/A,N/A,397,"1,622","3,230",873,618,399,48.9%,31.6%,,1600000US0608172,
Bystrom CDP,"3,957","2,037","1,920",31.3,30.8,31.6,N/A,N/A,316,"1,180","2,563",837,632,434,48.5%,29.8%,,1600000US0609353,
Ceres city,"49,302","24,668","24,634",32.4,31.1,33.6,N/A,N/A,"3,258","14,248","32,666","10,402","7,678","5,239",50.0%,28.9%,,1600000US0612524,
Cowan CDP,342,169,173,34.0,37.3,31.4,N/A,N/A,32,108,221,66,47,32,50.6%,31.6%,,1600000US0616762,
Crows Landing CDP,322,199,123,37.0,42.3,22.5,N/A,N/A,16,86,222,73,46,29,38.2%,26.7%,,1600000US0617428,
Del Rio CDP,"1,399",693,706,50.7,50.0,51.0,N/A,N/A,67,270,"1,083",606,479,353,50.5%,19.3%,,1600000US0618695,
Denair CDP,"4,865","2,467","2,398",37.0,36.0,37.8,N/A,N/A,301,"1,243","3,441","1,306","1,024",736,49.3%,25.5%,,1600000US0618856,
Diablo Grande CDP,"1,669",847,822,38.4,37.6,38.9,N/A,N/A,122,426,"1,186",458,336,242,49.3%,25.5%,,1600000US0619155,
East Oakdale CDP,"3,201","1,599","1,602",51.0,49.7,52.8,N/A,N/A,107,616,"2,493","1,445","1,163",893,50.0%,19.2%,,1600000US0620907,
Empire CDP,"4,202","2,176","2,026",36.5,35.8,37.2,N/A,N/A,257,"1,043","2,998","1,055",777,502,48.2%,24.8%,,1600000US0622622,
Grayson CDP,"1,041",529,512,33.4,32.3,35.0,N/A,N/A,69,310,676,202,130,84,49.2%,29.8%,,1600000US0630882,
Hickman CDP,604,278,326,37.7,40.8,35.1,N/A,N/A,53,153,425,162,122,79,54.0%,25.3%,,1600000US0633504,
Hughson city,"7,481","3,662","3,819",35.6,34.4,36.6,N/A,N/A,464,"2,085","5,072","1,891","1,473","1,113",51.0%,27.9%,,1600000US0634904,
Keyes CDP,"5,672","2,889","2,783",32.0,31.6,32.3,N/A,N/A,432,"1,675","3,729","1,136",841,523,49.1%,29.5%,,1600000US0638422,
Knights Ferry CDP,112,51,61,41.0,23.3,48.1,N/A,N/A,10,34,70,35,31,30,54.5%,30.4%,,1600000US0638786,
La Grange CDP,166,72,94,42.1,32.0,46.3,N/A,N/A,11,39,117,43,33,26,56.6%,23.5%,,1600000US0639164,
Modesto city,"218,464","106,266","112,198",36.3,35.1,37.5,N/A,N/A,"13,701","54,637","155,273","59,803","46,452","33,585",51.4%,25.0%,,1600000US0648354,
Monterey Park Tract CDP,164,79,85,26.6,26.8,26.5,N/A,N/A,10,49,110,34,23,12,51.8%,29.9%,,1600000US0648916,
Newman city,"12,351","6,098","6,253",32.4,31.5,33.4,N/A,N/A,885,"3,761","8,021","2,730","2,008","1,396",50.6%,30.5%,,1600000US0651140,
Oakdale city,"23,181","11,220","11,961",36.9,35.3,38.3,N/A,N/A,"1,511","6,079","16,235","6,559","5,108","3,800",51.6%,26.2%,,1600000US0652694,
Orange Blossom CDP,"1,068",581,487,51.4,52.8,51.0,N/A,N/A,30,202,829,478,369,242,45.6%,18.9%,,1600000US0653987,
Parklawn CDP,"1,249",619,630,32.0,31.1,33.1,N/A,N/A,113,373,808,274,202,130,50.4%,29.9%,,1600000US0655728,
Patterson city,"23,781","11,830","11,951",33.7,32.8,34.6,N/A,N/A,"1,511","6,868","15,717","5,042","3,719","2,538",50.3%,28.9%,,1600000US0656112,
Riverbank city,"24,865","12,225","12,640",34.3,33.0,35.3,N/A,N/A,"1,647","6,994","16,801","5,585","4,117","2,861",50.8%,28.1%,,1600000US0661068,
Riverdale Park CDP,"1,053",541,512,37.5,38.1,37.3,N/A,N/A,63,257,752,289,205,143,48.6%,24.4%,,1600000US0661106,
Rouse CDP,"1,913","1,019",894,30.8,30.5,30.9,N/A,N/A,136,578,"1,251",395,290,194,46.7%,30.2%,,1600000US0663168,
Salida CDP,"13,886","6,936","6,950",34.4,33.9,35.0,N/A,N/A,920,"3,802","9,424","3,160","2,237","1,476",50.1%,27.4%,,1600000US0664210,
Turlock city,"72,740","35,212","37,528",35.1,33.7,36.4,N/A,N/A,"4,630","18,038","51,242","19,092","14,773","10,934",51.6%,24.8%,,1600000US0680812,
Valley Home CDP,284,158,126,50.3,46.3,55.2,N/A,N/A,8,57,224,117,95,75,44.4%,20.1%,,1600000US0681792,
Waterford city,"9,120","4,485","4,635",32.1,31.9,32.3,N/A,N/A,681,"2,714","6,006","2,026","1,461",940,50.8%,29.8%,,1600000US0683612,
Westley CDP,575,303,272,24.3,24.5,23.0,N/A,N/A,69,246,308,77,44,33,47.3%,42.8%,,1600000US0684480,
West Modesto CDP,"5,965","3,060","2,905",31.6,31.2,32.2,N/A,N/A,462,"1,818","3,870","1,291",938,628,48.7%,30.5%,,1600000US0684578,
Sutter County,"99,633","49,585","50,048",36.9,35.4,38.5,N/A,N/A,"6,255","25,052","70,559","28,226","21,920","15,951",50.2%,25.1%,,0500000US06101,
East Nicolaus CDP,223,108,115,48.3,48.6,47.3,N/A,N/A,12,33,179,90,73,62,51.6%,14.8%,,1600000US0620900,
Live Oak city,"9,106","4,475","4,631",33.8,33.0,34.6,N/A,N/A,614,"2,580","6,098","2,247","1,733","1,225",50.9%,28.3%,,1600000US0641936,
Meridian CDP,304,142,162,47.6,47.4,48.0,N/A,N/A,14,62,232,116,94,63,53.3%,20.4%,,1600000US0646926,
Nicolaus CDP,176,89,87,50.5,53.5,37.5,N/A,N/A,8,33,135,73,58,49,49.4%,18.8%,,1600000US0651336,
Rio Oso CDP,372,190,182,40.4,43.5,38.3,N/A,N/A,20,96,254,142,116,60,48.9%,25.8%,,1600000US0660970,
Robbins CDP,347,181,166,36.9,40.1,36.0,N/A,N/A,15,84,253,84,55,35,47.8%,24.2%,,1600000US0662168,
Sutter CDP,"2,997","1,510","1,487",38.6,37.3,39.6,N/A,N/A,179,750,"2,165",899,671,437,49.6%,25.0%,,1600000US0677378,
Trowbridge CDP,229,131,98,39.2,37.6,45.5,N/A,N/A,7,46,175,76,57,48,42.8%,20.1%,,1600000US0680560,
Yuba City city,"70,117","34,745","35,372",36.1,34.4,38.0,N/A,N/A,"4,548","17,788","49,472","19,134","14,810","10,819",50.4%,25.4%,,1600000US0686972,
Tehama County,"65,829","32,827","33,002",40.4,39.3,41.6,N/A,N/A,"3,861","15,978","47,587","22,523","17,813","13,165",50.1%,24.3%,,0500000US06103,
Bend CDP,603,286,317,54.5,56.0,54.3,N/A,N/A,30,122,466,296,227,177,52.6%,20.2%,,1600000US0605276,
Corning city,"8,244","4,022","4,222",32.3,30.7,33.7,N/A,N/A,579,"2,494","5,382","1,946","1,473","1,024",51.2%,30.3%,,1600000US0616322,
Dales CDP,28,17,11,63.3,63.8,50.5,N/A,N/A,0,3,25,15,15,9,39.3%,10.7%,,1600000US0617876,
Flournoy CDP,117,66,51,39.8,42.0,27.9,N/A,N/A,6,28,82,36,30,21,43.6%,23.9%,,1600000US0624568,
Gerber CDP,"1,044",520,524,32.4,29.6,36.5,N/A,N/A,66,297,689,243,173,118,50.2%,28.4%,,1600000US0629392,
Lake California CDP,"3,377","1,702","1,675",40.6,39.3,41.9,N/A,N/A,187,860,"2,426","1,135",948,735,49.6%,25.5%,,1600000US0639460,
Las Flores CDP,190,101,89,39.4,46.3,36.3,N/A,N/A,7,51,135,67,53,42,46.8%,26.8%,,1600000US0640536,
Los Molinos CDP,"2,098","1,094","1,004",44.1,43.1,45.3,N/A,N/A,122,487,"1,555",752,593,449,47.9%,23.2%,,1600000US0644140,
Manton CDP,310,162,148,53.8,55.5,51.4,N/A,N/A,23,62,244,152,118,89,47.7%,20.0%,,1600000US0645512,
Mineral CDP,136,75,61,59.8,44.5,65.5,N/A,N/A,3,10,125,73,67,53,44.9%,7.4%,,1600000US0647794,
Paskenta CDP,110,42,68,49.7,47.3,52.0,N/A,N/A,0,17,89,43,38,24,61.8%,15.5%,,1600000US0656042,
Paynes Creek CDP,54,23,31,54.0,43.5,55.5,N/A,N/A,0,8,44,27,19,12,57.4%,14.8%,,1600000US0656196,
Proberta CDP,237,115,122,36.5,27.8,47.0,N/A,N/A,16,62,169,73,58,44,51.5%,26.2%,,1600000US0658814,
Rancho Tehama Reserve CDP,"1,572",824,748,45.9,47.3,43.3,N/A,N/A,51,316,"1,220",620,474,345,47.6%,20.1%,,1600000US0659604,
Red Bluff city,"14,710","7,059","7,651",35.3,33.0,37.4,N/A,N/A,968,"3,842","10,245","4,244","3,334","2,490",52.0%,26.1%,,1600000US0659892,
Richfield CDP,309,147,162,37.2,35.9,39.5,N/A,N/A,32,95,210,85,62,42,52.4%,30.7%,,1600000US0660592,
Tehama city,435,210,225,45.1,42.0,45.7,N/A,N/A,28,85,333,171,146,105,51.7%,19.5%,,1600000US0678106,
Vina CDP,198,110,88,51.0,44.0,61.0,N/A,N/A,7,32,157,90,84,57,44.4%,16.2%,,1600000US0682786,
Trinity County,"16,112","9,068","7,044",47.6,46.6,48.8,N/A,N/A,711,"2,693","13,031","6,664","5,466","4,006",43.7%,16.7%,,0500000US06105,
Burnt Ranch CDP,250,144,106,48.0,48.3,44.5,N/A,N/A,10,39,206,109,85,62,42.4%,15.6%,,1600000US0609150,
Coffee Creek CDP,152,69,83,58.3,62.9,54.8,N/A,N/A,3,23,126,82,73,48,54.6%,15.1%,,1600000US0614406,
Douglas City CDP,868,481,387,51.9,53.6,50.6,N/A,N/A,49,153,705,392,330,235,44.6%,17.6%,,1600000US0619724,
Hayfork CDP,"2,324","1,286","1,038",43.9,43.4,45.2,N/A,N/A,140,442,"1,824",860,694,497,44.7%,19.0%,,1600000US0632562,
Hyampom CDP,241,149,92,42.6,52.3,40.0,N/A,N/A,7,25,211,102,92,77,38.2%,10.4%,,1600000US0636098,
Junction City CDP,658,357,301,52.0,49.9,55.3,N/A,N/A,18,79,568,304,269,206,45.7%,12.0%,,1600000US0637596,
Lewiston CDP,"1,222",631,591,53.4,50.8,55.1,N/A,N/A,63,214,985,583,475,344,48.4%,17.5%,,1600000US0641278,
Mad River CDP,361,190,171,54.9,55.0,54.9,N/A,N/A,10,43,315,180,134,91,47.4%,11.9%,,1600000US0645092,
Post Mountain CDP,"3,032","2,080",952,42.2,42.7,39.9,N/A,N/A,110,388,"2,546","1,018",783,509,31.4%,12.8%,,1600000US0658456,
Ruth CDP,254,129,125,61.5,60.5,62.5,N/A,N/A,10,52,197,135,131,101,49.2%,20.5%,,1600000US0663386,
Salyer CDP,389,195,194,54.2,50.8,58.5,N/A,N/A,11,72,305,192,173,128,49.9%,18.5%,,1600000US0664378,
Trinity Center CDP,198,102,96,59.4,54.0,62.0,N/A,N/A,3,23,174,114,96,80,48.5%,11.6%,,1600000US0680476,
Trinity Village CDP,278,159,119,57.5,55.8,59.1,N/A,N/A,6,47,230,150,125,91,42.8%,16.9%,,1600000US0680483,
Weaverville CDP,"3,667","1,823","1,844",44.1,42.6,45.0,N/A,N/A,199,801,"2,761","1,370","1,117",823,50.3%,21.8%,,1600000US0683794,
Tulare County,"473,117","234,710","238,407",32.3,31.4,33.1,N/A,N/A,"33,927","142,024","309,281","106,889","81,247","57,838",50.4%,30.0%,,0500000US06107,
Allensworth CDP,531,251,280,27.8,29.3,25.5,N/A,N/A,44,204,306,92,73,38,52.7%,38.4%,,1600000US0601010,
Alpaugh CDP,871,451,420,24.9,24.8,24.9,N/A,N/A,82,346,485,144,91,57,48.2%,39.7%,,1600000US0601164,
California Hot Springs CDP,50,24,26,66.5,66.8,65.5,N/A,N/A,0,6,44,37,30,29,52.0%,12.0%,,1600000US0609822,
Camp Nelson CDP,106,46,60,63.3,65.0,63.3,N/A,N/A,0,4,102,80,66,48,56.6%,3.8%,,1600000US0610494,
Cedar Slope CDP,10,8,2,39.0,45.0,17.5,N/A,N/A,0,2,7,1,1,1,20.0%,20.0%,,1600000US0612314,
Cutler CDP,"4,480","2,248","2,232",28.3,28.3,28.3,N/A,N/A,375,"1,549","2,697",783,559,391,49.8%,34.6%,,1600000US0617708,
Delft Colony CDP,412,232,180,25.5,24.0,26.8,N/A,N/A,36,132,255,64,38,27,43.7%,32.0%,,1600000US0618450,
Dinuba city,"24,563","12,174","12,389",29.7,29.0,30.5,N/A,N/A,"1,845","8,014","15,370","4,672","3,435","2,436",50.4%,32.6%,,1600000US0619318,
Ducor CDP,616,300,316,28.1,27.5,29.8,N/A,N/A,62,208,365,115,86,66,51.3%,33.8%,,1600000US0620032,
Earlimart CDP,"7,679","3,769","3,910",28.1,27.6,28.8,N/A,N/A,592,"2,592","4,611","1,411","1,026",689,50.9%,33.8%,,1600000US0620438,
East Orosi CDP,423,216,207,30.3,35.3,26.5,N/A,N/A,35,153,258,73,58,30,48.9%,36.2%,,1600000US0620942,
East Porterville CDP,"5,549","2,821","2,728",28.2,28.0,28.4,N/A,N/A,478,"1,839","3,408","1,120",809,565,49.2%,33.1%,,1600000US0621012,
East Tulare Villa CDP,773,391,382,30.6,29.8,31.6,N/A,N/A,58,246,491,174,120,98,49.4%,31.8%,,1600000US0621210,
El Monte Mobile Village CDP,156,94,62,35.4,35.7,34.3,N/A,N/A,10,40,116,28,14,12,39.7%,25.6%,,1600000US0622235,
El Rancho CDP,96,41,55,38.8,45.8,38.6,N/A,N/A,13,30,61,27,18,5,57.3%,31.3%,,1600000US0622360,
Exeter city,"10,321","4,999","5,322",35.0,33.7,36.1,N/A,N/A,664,"2,792","7,085","2,676","2,138","1,555",51.6%,27.1%,,1600000US0623126,
Farmersville city,"10,397","5,148","5,249",29.4,28.2,30.2,N/A,N/A,747,"3,386","6,442","1,912","1,401",966,50.5%,32.6%,,1600000US0623616,
Goshen CDP,"4,968","2,480","2,488",27.3,26.0,28.6,N/A,N/A,446,"1,877","2,854",730,540,349,50.1%,37.8%,,1600000US0630476,
Hartland CDP,69,49,20,38.1,36.8,42.5,N/A,N/A,3,18,47,18,15,8,29.0%,26.1%,,1600000US0632324,
Hypericum CDP,125,56,69,30.5,31.0,29.5,N/A,N/A,11,41,78,21,21,13,55.2%,32.8%,,1600000US0636135,
Idlewild CDP,32,18,14,64.0,63.8,66.5,N/A,N/A,0,1,31,24,23,15,43.8%,3.1%,,1600000US0636168,
Ivanhoe CDP,"4,468","2,237","2,231",31.1,29.5,32.8,N/A,N/A,335,"1,384","2,831",998,717,486,49.9%,31.0%,,1600000US0636910,
Jovista CDP,41,12,29,35.8,20.5,38.8,N/A,N/A,3,17,24,8,4,4,70.7%,41.5%,,1600000US0637568,
Kennedy Meadows CDP,58,31,27,61.5,62.5,60.5,N/A,N/A,1,5,50,33,30,26,46.6%,8.6%,,1600000US0638076,
Lemon Cove CDP,298,140,158,39.5,41.0,38.9,N/A,N/A,17,70,223,101,79,57,53.0%,23.5%,,1600000US0641110,
Lindcove CDP,189,99,90,40.2,39.3,42.0,N/A,N/A,10,47,135,61,54,38,47.6%,24.9%,,1600000US0641656,
Lindsay city,"12,659","6,205","6,454",28.2,26.9,29.3,N/A,N/A,"1,084","4,371","7,672","2,288","1,714","1,191",51.0%,34.5%,,1600000US0641712,
Linnell Camp CDP,696,324,372,24.5,21.8,25.8,N/A,N/A,56,279,379,108,73,44,53.4%,40.1%,,1600000US0641740,
London CDP,"1,518",808,710,29.6,29.6,29.4,N/A,N/A,108,500,943,293,211,141,46.8%,32.9%,,1600000US0642566,
McClenney Tract CDP,15,4,11,65.3,66.3,62.3,N/A,N/A,0,1,14,13,12,8,73.3%,6.7%,,1600000US0644770,
Matheny CDP,"1,125",617,508,31.1,32.9,29.9,N/A,N/A,94,353,728,226,159,124,45.2%,31.4%,,1600000US0646223,
Monson CDP,152,59,93,32.5,28.8,33.5,N/A,N/A,12,53,94,32,21,18,61.2%,34.9%,,1600000US0648676,
Orosi CDP,"8,329","4,167","4,162",30.4,29.9,30.8,N/A,N/A,588,"2,563","5,332","1,733","1,241",869,50.0%,30.8%,,1600000US0654372,
Panorama Heights CDP,44,27,17,55.0,52.9,57.5,N/A,N/A,0,7,37,22,17,15,38.6%,15.9%,,1600000US0655506,
Patterson Tract CDP,"1,888",922,966,32.2,31.0,33.1,N/A,N/A,144,585,"1,212",436,344,250,51.2%,31.0%,,1600000US0656120,
Pierpoint CDP,59,34,25,68.9,75.1,67.9,N/A,N/A,5,12,47,43,42,39,42.4%,20.3%,,1600000US0657011,
Pine Flat CDP,206,121,85,59.4,62.3,55.3,N/A,N/A,5,24,179,112,99,86,41.3%,11.7%,,1600000US0657134,
Pixley CDP,"3,828","1,892","1,936",26.5,25.7,27.5,N/A,N/A,279,"1,385","2,259",582,417,270,50.6%,36.2%,,1600000US0657512,
Plainview CDP,846,406,440,26.5,25.9,27.7,N/A,N/A,69,294,498,166,118,79,52.0%,34.8%,,1600000US0657568,
Ponderosa CDP,51,34,17,62.5,57.0,62.5,N/A,N/A,3,7,44,29,26,21,33.3%,13.7%,,1600000US0658134,
Poplar-Cotton Center CDP,"2,370","1,189","1,181",29.6,28.4,31.6,N/A,N/A,184,739,"1,509",521,409,291,49.8%,31.2%,,1600000US0658191,
Porterville city,"62,623","30,864","31,759",30.5,29.4,31.6,N/A,N/A,"4,830","20,028","39,531","13,215","10,040","7,133",50.7%,32.0%,,1600000US0658240,
Posey CDP,23,14,9,66.5,70.3,63.5,N/A,N/A,0,1,22,19,19,16,39.1%,4.3%,,1600000US0658422,
Poso Park CDP,9,3,6,72.3,24.5,74.0,N/A,N/A,0,0,8,7,7,7,66.7%,0.0%,,1600000US0658436,
Richgrove CDP,"2,358","1,220","1,138",28.2,26.4,30.1,N/A,N/A,194,825,"1,418",451,318,196,48.3%,35.0%,,1600000US0660606,
Rodriguez Camp CDP,133,64,69,23.6,23.0,28.1,N/A,N/A,9,56,73,18,16,13,51.9%,42.1%,,1600000US0662496,
Sequoia Crest CDP,24,14,10,54.5,53.5,63.5,N/A,N/A,1,2,22,12,10,7,41.7%,8.3%,,1600000US0670966,
Seville CDP,446,221,225,27.1,29.1,25.8,N/A,N/A,39,147,264,76,51,38,50.4%,33.0%,,1600000US0671078,
Silver City CDP,0,0,0,-,-,-,N/A,N/A,0,0,0,0,0,0,-,-,,1600000US0671932,
Springville CDP,967,461,506,50.7,46.9,54.6,N/A,N/A,53,195,754,439,357,251,52.3%,20.2%,,1600000US0673710,
Strathmore CDP,"2,830","1,384","1,446",29.0,30.1,28.7,N/A,N/A,231,937,"1,764",547,404,296,51.1%,33.1%,,1600000US0675280,
Sugarloaf Saw Mill CDP,14,7,7,57.5,57.3,58.5,N/A,N/A,0,1,13,8,5,2,50.0%,7.1%,,1600000US0675592,
Sugarloaf Village CDP,7,6,1,76.8,76.5,81.5,N/A,N/A,0,0,7,5,5,5,14.3%,0.0%,,1600000US0675596,
Sultana CDP,779,423,356,28.8,30.8,27.8,N/A,N/A,54,271,475,134,101,68,45.7%,34.8%,,1600000US0675672,
Terra Bella CDP,"2,910","1,490","1,420",29.2,28.8,29.6,N/A,N/A,203,942,"1,803",557,421,293,48.8%,32.4%,,1600000US0678288,
Teviston CDP,"1,185",609,576,27.4,28.3,26.5,N/A,N/A,86,429,701,205,160,99,48.6%,36.2%,,1600000US0678336,
Three Rivers CDP,"2,053",993,"1,060",56.4,56.7,56.2,N/A,N/A,65,290,"1,722","1,071",909,682,51.6%,14.1%,,1600000US0678638,
Tipton CDP,"2,519","1,292","1,227",27.4,27.0,27.7,N/A,N/A,207,868,"1,516",379,268,177,48.7%,34.5%,,1600000US0678750,
Tonyville CDP,329,176,153,28.9,29.0,25.8,N/A,N/A,26,123,193,52,43,39,46.5%,37.4%,,1600000US0678932,
Tooleville CDP,286,118,168,27.5,27.0,29.3,N/A,N/A,23,104,166,55,25,16,58.7%,36.4%,,1600000US0678949,
Traver CDP,731,371,360,27.1,28.5,25.9,N/A,N/A,62,243,444,132,78,58,49.2%,33.2%,,1600000US0680280,
Tulare city,"68,875","33,897","34,978",31.1,30.3,32.1,N/A,N/A,"5,152","21,147","44,452","14,151","10,542","7,393",50.8%,30.7%,,1600000US0680644,
Visalia city,"141,384","69,153","72,231",34.1,33.2,34.9,N/A,N/A,"9,376","39,433","96,137","33,820","26,103","18,866",51.1%,27.9%,,1600000US0682954,
Waukena CDP,80,41,39,42.0,42.3,41.8,N/A,N/A,0,11,64,22,14,11,48.8%,13.8%,,1600000US0683724,
West Goshen CDP,536,307,229,29.4,30.6,28.2,N/A,N/A,43,165,350,112,72,47,42.7%,30.8%,,1600000US0684345,
Wilsonia CDP,14,10,4,41.0,34.0,56.5,N/A,N/A,1,1,10,5,2,1,28.6%,7.1%,,1600000US0685866,
Woodlake city,"7,419","3,674","3,745",30.2,30.0,30.5,N/A,N/A,594,"2,352","4,721","1,587","1,194",827,50.5%,31.7%,,1600000US0686300,
Woodville CDP,"1,680",886,794,31.3,31.3,31.3,N/A,N/A,126,518,"1,059",339,249,167,47.3%,30.8%,,1600000US0686482,
Woodville Farm Labor Camp CDP,729,350,379,22.7,22.5,22.8,N/A,N/A,69,291,385,96,57,37,52.0%,39.9%,,1600000US0686489,
Yettem CDP,201,129,72,24.9,26.9,22.5,N/A,N/A,29,65,119,23,15,13,35.8%,32.3%,,1600000US0686734,
Tuolumne County,"55,620","28,790","26,830",48.9,45.9,51.7,N/A,N/A,"2,360","9,352","44,700","24,061","20,027","15,053",48.2%,16.8%,,0500000US06109,
Cedar Ridge CDP,"1,235",630,605,50.7,48.2,52.6,N/A,N/A,51,216,979,569,469,341,49.0%,17.5%,,1600000US0612300,
Chinese Camp CDP,90,44,46,41.5,32.5,55.3,N/A,N/A,7,19,69,40,31,26,51.1%,21.1%,,1600000US0613182,
Cold Springs CDP,123,69,54,62.7,62.3,63.0,N/A,N/A,4,10,112,76,73,50,43.9%,8.1%,,1600000US0614454,
Columbia CDP,"2,577","1,215","1,362",50.3,47.1,52.1,N/A,N/A,94,443,"2,019","1,166",993,772,52.9%,17.2%,,1600000US0614904,
East Sonora CDP,"2,431","1,054","1,377",62.3,57.3,65.6,N/A,N/A,89,305,"2,071","1,447","1,310","1,109",56.6%,12.5%,,1600000US0621188,
Groveland CDP,540,297,243,46.8,46.8,47.5,N/A,N/A,27,96,432,230,188,150,45.0%,17.8%,,1600000US0631372,
Jamestown CDP,"3,478","1,662","1,816",50.4,47.2,53.3,N/A,N/A,171,681,"2,708","1,569","1,332","1,013",52.2%,19.6%,,1600000US0637106,
Long Barn CDP,162,77,85,58.5,58.6,58.4,N/A,N/A,2,22,138,96,68,48,52.5%,13.6%,,1600000US0642622,
Mi-Wuk Village CDP,935,481,454,55.3,58.3,54.0,N/A,N/A,36,125,794,474,385,280,48.6%,13.4%,,1600000US0648298,
Mono Vista CDP,"3,236","1,628","1,608",42.1,41.9,42.4,N/A,N/A,188,714,"2,426","1,196",943,699,49.7%,22.1%,,1600000US0648641,
Phoenix Lake CDP,"4,264","2,086","2,178",55.2,55.3,55.0,N/A,N/A,165,728,"3,434","2,141","1,855","1,457",51.1%,17.1%,,1600000US0656870,
Pine Mountain Lake CDP,"2,636","1,358","1,278",63.2,62.6,63.9,N/A,N/A,81,257,"2,327","1,692","1,488","1,233",48.5%,9.7%,,1600000US0657244,
Sierra Village CDP,411,243,168,48.4,50.4,36.5,N/A,N/A,11,68,320,179,161,117,40.9%,16.5%,,1600000US0671834,
Sonora city,"5,003","2,336","2,667",41.4,38.6,44.0,N/A,N/A,232,942,"3,868","1,737","1,450","1,088",53.3%,18.8%,,1600000US0672674,
Soulsbyville CDP,"2,092","1,051","1,041",45.2,44.3,46.3,N/A,N/A,93,426,"1,601",844,683,478,49.8%,20.4%,,1600000US0672772,
Strawberry CDP,87,37,50,63.4,64.5,63.0,N/A,N/A,6,14,71,55,47,39,57.5%,16.1%,,1600000US0675322,
Tuolumne City CDP,"1,798",876,922,41.8,38.9,43.8,N/A,N/A,120,404,"1,344",601,460,342,51.3%,22.5%,,1600000US0680763,
Tuttletown CDP,787,381,406,52.5,51.8,53.7,N/A,N/A,33,137,628,378,295,217,51.6%,17.4%,,1600000US0680896,
Twain Harte CDP,"2,378","1,192","1,186",53.2,54.3,52.4,N/A,N/A,95,378,"1,927","1,135",958,744,49.9%,15.9%,,1600000US0680966,
Ventura County,"843,843","414,453","429,390",39.5,38.1,40.8,N/A,N/A,"43,544","187,645","621,672","256,681","198,153","142,526",50.9%,22.2%,,0500000US06111,
